IPE
----------------------------------------------------------------------
            IPE               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
                    8          2.2608          4.0192           6.280          9.0432         12.3088         16.0768           25.12        39.25000         64.3072          100.48
                    9          2.5434          4.5216           7.065         10.1736         13.8474         18.0864           28.26        44.15625         72.3456          113.04
                   10          2.8260          5.0240           7.850         11.3040         15.3860         20.0960           31.40        49.06250         80.3840          125.60


HEA
----------------------------------------------------------------------
            HEA               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
            100             9.6              10            0.50            0.80             1.2             NaN            16.7            21.2             349              73            4.06             NaN             134              27            2.51            4.69           83.01           41.14    2.594240e+03
            120            11.4              12            0.50            0.80             1.2             NaN            19.9            25.3             606             106            4.89             NaN             231              38            3.02            5.63          119.50           58.85    6.488790e+03
            140            13.3              14            0.55            0.85             1.2             NaN            24.7            31.4            1033             155            5.73             NaN             389              56            3.52            7.97          173.50           84.85    1.507399e+04
            160            15.2              16            0.60            0.90             1.5             NaN            30.4            38.8            1673             220            6.57             NaN             616              77            3.98           10.90          245.10          117.60    3.149146e+04
            180            17.1              18            0.60            0.95             1.5             NaN            35.5            45.3            2510             294            7.45             NaN             925             103            4.52           14.20          324.90          156.50    6.031520e+04
            200            19.0              20            0.65            1.00             1.8             NaN            42.3            53.8            3692             389            8.28             NaN            1336             134            4.98           18.60          429.50          203.80    1.082160e+05
            220            21.0              22            0.70            1.10             1.8             NaN            50.5            64.3            5410             515            9.17             NaN            1955             178            5.51           27.10          568.50          270.60    1.935499e+05
            240            23.0              24            0.75            1.20             2.1             NaN            60.3            76.8            7763             675           10.10             NaN            2769             231            6.00           38.20          744.60          351.70    3.289849e+05
            260            25.0              26            0.75            1.25             2.4             NaN            68.2            86.8           10460             836           11.00             NaN            3668             282            6.50           46.30          919.80          430.20    5.172453e+05
